IP,Hostname,City,Region,Country,Location,Organization,Postal,Timezone
80.3.90.20,cpc107269-cosh15-2-0-cust19.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.22,ip-109-44-21-22.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.31,host-88-33-44-31.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.21,cpc107269-cosh15-2-0-cust20.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.23,ip-109-44-21-23.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.32,host-88-33-44-32.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.22,cpc107269-cosh15-2-0-cust21.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.24,ip-109-44-21-24.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.33,host-88-33-44-33.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.23,cpc107269-cosh15-2-0-cust22.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.25,ip-109-44-21-25.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.34,host-88-33-44-34.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.24,cpc107269-cosh15-2-0-cust23.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.26,ip-109-44-21-26.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.35,host-88-33-44-35.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.25,cpc107269-cosh15-2-0-cust24.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.27,ip-109-44-21-27.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.36,host-88-33-44-36.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.26,cpc107269-cosh15-2-0-cust25.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.28,ip-109-44-21-28.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.37,host-88-33-44-37.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
192.168.1.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10.10.10.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
193.161.104.33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
192.168.1.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10.10.10.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
193.161.104.34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
192.168.1.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10.10.10.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
193.161.104.35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
192.168.1.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10.10.10.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
88.33.44.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
193.161.104.36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
192.168.1.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10.10.10.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
193.161.104.37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
192.168.1.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10.10.10.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
193.161.104.38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
192.168.1.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10.10.10.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
193.161.104.39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
192.168.1.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10.10.10.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
193.161.104.40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
192.168.1.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
